"Timestamp","User Count","Type","Name","Requests/s","Failures/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999%","100%","Total Request Count","Total Failure Count","Total Median Response Time","Total Average Response Time","Total Min Response Time","Total Max Response Time","Total Average Content Size"
"1749107430","1","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1749107431","2","","Aggregated",0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,7,0,38,47,23,93,87819
"1749107432","3","","Aggregated",0.00,0.00,36,40,49,50,65,89,89,89,89,89,89,89,21,0,36,39,10,93,77069
"1749107433","4","","Aggregated",6.00,0.00,36,40,44,49,54,65,89,89,89,89,89,89,40,0,36,35,4,93,70039
"1749107434","5","","Aggregated",10.00,0.00,36,44,50,54,65,77,92,97,97,97,97,97,70,0,36,36,4,96,81437
"1749107435","6","","Aggregated",12.00,0.00,36,41,49,51,65,91,94,97,98,98,98,98,118,0,35,36,4,97,83850
"1749107436","7","","Aggregated",16.75,0.00,32,41,47,50,64,89,93,97,98,98,98,98,166,0,32,34,4,97,79599
"1749107437","8","","Aggregated",21.60,0.00,32,39,44,49,63,75,92,94,98,98,98,98,221,0,32,33,4,97,78854
"1749107438","9","","Aggregated",26.83,0.00,30,38,43,47,63,75,91,94,98,98,98,98,296,0,30,32,3,97,75558
"1749107439","10","","Aggregated",30.43,0.00,30,38,44,48,63,75,91,94,130,130,130,130,363,0,31,32,3,133,78161
"1749107440","11","","Aggregated",35.50,0.00,30,38,44,48,61,72,89,93,130,130,130,130,441,0,31,32,3,133,77616
"1749107441","12","","Aggregated",39.11,0.00,30,38,44,47,61,72,87,94,130,130,130,130,523,0,30,31,3,133,76827
"1749107442","13","","Aggregated",42.80,0.00,30,38,44,49,62,75,91,98,130,130,130,130,607,0,30,32,3,133,78767
"1749107443","14","","Aggregated",50.20,0.00,30,38,44,49,63,77,91,98,130,130,130,130,703,0,30,32,3,133,79945
"1749107444","15","","Aggregated",57.70,0.00,30,38,44,49,63,75,86,100,130,130,130,130,801,0,31,32,3,133,80896
"1749107445","16","","Aggregated",65.40,0.00,29,38,45,49,64,76,86,100,130,130,130,130,917,0,30,32,3,133,80335
"1749107446","17","","Aggregated",71.90,0.00,28,38,44,49,64,77,92,110,140,140,140,140,1040,0,29,32,3,137,80242
"1749107447","18","","Aggregated",78.70,0.00,28,37,44,48,65,81,100,120,160,160,160,160,1178,0,28,32,3,160,80347
"1749107448","19","","Aggregated",85.10,0.00,27,37,44,48,65,81,100,110,160,160,160,160,1321,0,28,32,3,160,79851
"1749107449","20","","Aggregated",93.50,0.00,28,37,43,47,64,80,100,110,150,160,160,160,1471,0,28,32,3,160,80729
"1749107450","21","","Aggregated",101.10,0.00,27,37,43,48,64,79,100,120,150,160,160,160,1636,0,28,31,3,160,79645
"1749107451","22","","Aggregated",108.70,0.00,27,36,42,46,62,76,96,120,150,160,160,160,1798,0,28,31,3,160,80285
"1749107452","23","","Aggregated",117.60,0.00,27,36,41,46,62,73,96,120,150,160,160,160,1966,0,28,31,3,160,80336
"1749107453","24","","Aggregated",125.80,0.00,26,35,41,45,61,73,96,110,150,160,160,160,2137,0,28,31,3,160,79763
"1749107454","25","","Aggregated",133.10,0.00,26,35,41,45,62,74,99,110,150,160,160,160,2337,0,28,31,3,160,79958
"1749107455","26","","Aggregated",140.20,0.00,26,35,40,46,61,74,95,110,150,160,160,160,2537,0,28,31,3,160,79689
"1749107456","27","","Aggregated",150.70,0.00,27,35,40,46,60,73,93,110,140,150,150,150,2746,0,27,31,3,160,80043
"1749107457","28","","Aggregated",159.70,0.00,27,35,41,46,60,74,94,110,140,150,150,150,2975,0,27,31,3,160,79824
"1749107458","29","","Aggregated",169.40,0.00,26,34,41,46,60,73,94,110,140,150,150,150,3190,0,27,31,3,160,79991
"1749107459","30","","Aggregated",177.20,0.00,26,35,41,46,60,75,95,110,150,160,160,160,3399,0,27,31,3,160,79810
"1749107460","31","","Aggregated",183.70,0.00,26,34,41,46,60,75,96,110,160,160,160,160,3623,0,27,31,3,160,80065
"1749107461","32","","Aggregated",190.90,0.00,26,35,41,46,60,75,96,110,160,160,160,160,3855,0,27,31,3,160,79575
"1749107462","33","","Aggregated",196.60,0.00,26,35,41,46,60,75,93,110,150,160,160,160,4097,0,27,31,3,160,79581
"1749107463","34","","Aggregated",203.20,0.00,26,35,41,46,59,75,91,110,150,160,160,160,4348,0,27,30,3,160,79305
"1749107464","34","","Aggregated",211.10,0.00,26,35,41,46,59,75,91,100,160,160,160,160,4605,0,27,30,3,160,79429
"1749107465","34","","Aggregated",219.30,0.00,26,36,42,47,59,76,94,110,160,160,160,160,4861,0,27,31,3,164,79844
"1749107466","34","","Aggregated",224.40,0.00,26,36,42,47,61,76,93,110,160,160,160,160,5128,1,27,31,3,164,80149
"1749107467","34","","Aggregated",230.90,0.00,27,36,42,46,60,76,92,100,160,160,160,160,5393,1,27,31,3,164,80323
"1749107468","34","","Aggregated",234.90,0.10,27,37,43,47,61,76,92,100,160,160,160,160,5641,1,27,31,3,164,80563
"1749107469","34","","Aggregated",239.00,0.10,27,37,43,47,62,77,93,100,160,160,160,160,5893,1,27,31,3,164,80559
"1749107470","34","","Aggregated",243.70,0.10,28,37,43,47,62,76,93,100,150,160,160,160,6144,1,27,31,3,164,80637
"1749107471","34","","Aggregated",246.70,0.10,27,36,43,47,62,77,94,110,150,160,160,160,6414,1,27,31,3,164,80800
"1749107472","34","","Aggregated",250.30,0.10,27,37,43,47,63,77,94,110,150,160,160,160,6666,1,27,31,3,164,80588
"1749107473","34","","Aggregated",254.50,0.10,27,36,43,47,63,76,93,100,140,160,160,160,6910,1,27,31,3,164,80518
"1749107474","34","","Aggregated",255.20,0.10,27,36,43,47,63,75,92,100,130,140,140,140,7143,1,27,31,3,164,80382
"1749107475","34","","Aggregated",255.20,0.10,28,36,42,47,61,74,91,99,130,140,140,140,7407,1,27,31,3,164,80161
"1749107476","34","","Aggregated",253.30,0.10,28,36,42,47,61,73,88,98,130,140,140,140,7676,1,27,31,2,164,79963
"1749107477","34","","Aggregated",252.60,0.10,27,36,42,46,60,72,87,97,130,140,140,140,7936,1,27,31,2,164,79979
"1749107478","34","","Aggregated",252.90,0.00,27,36,42,46,59,71,87,96,140,150,150,150,8192,1,27,31,2,164,79819
"1749107479","34","","Aggregated",253.90,0.00,27,36,42,46,58,70,85,96,140,150,150,150,8436,1,27,30,2,164,79774
"1749107480","34","","Aggregated",253.80,0.00,27,36,42,46,58,71,84,95,140,150,150,150,8690,1,27,30,2,164,79823
"1749107481","34","","Aggregated",254.30,0.00,27,36,42,46,58,71,85,98,140,150,150,150,8957,1,27,30,2,164,79833
"1749107482","34","","Aggregated",253.90,0.00,27,36,42,46,58,71,85,100,140,150,150,150,9207,1,27,30,2,164,79784
"1749107483","34","","Aggregated",252.70,0.00,27,35,42,46,59,72,89,100,140,150,150,150,9469,1,27,31,2,164,79800
"1749107484","34","","Aggregated",253.10,0.00,27,35,42,46,60,73,89,100,140,150,150,150,9720,1,27,31,2,164,79855
"1749107485","34","","Aggregated",254.50,0.00,27,35,42,46,61,75,91,100,140,150,150,150,9977,1,27,31,2,164,79876
"1749107486","34","","Aggregated",255.90,0.00,27,35,42,47,61,76,92,100,140,150,150,150,10240,1,27,31,2,164,79940
"1749107487","34","","Aggregated",255.00,0.00,27,36,42,47,62,76,93,100,140,140,140,140,10498,1,27,31,2,164,80010
"1749107488","34","","Aggregated",255.40,0.00,27,36,42,47,61,76,91,100,130,140,140,140,10750,1,27,31,2,164,79918
"1749107489","34","","Aggregated",255.80,0.00,27,36,43,47,61,75,90,100,130,140,140,140,11019,1,27,31,2,164,79932
"1749107490","34","","Aggregated",254.40,0.00,27,36,43,47,62,75,94,110,130,140,140,140,11253,1,27,31,2,164,79976
"1749107491","34","","Aggregated",254.90,0.00,28,37,43,47,62,75,93,110,130,140,140,140,11530,1,27,31,2,164,80018
"1749107492","34","","Aggregated",254.80,0.00,27,36,43,47,61,74,93,110,130,140,140,140,11790,1,27,31,2,164,79938
"1749107493","34","","Aggregated",254.50,0.00,27,36,42,46,61,73,89,110,140,150,150,150,12026,1,27,31,2,164,79897
"1749107494","34","","Aggregated",256.30,0.00,27,36,43,46,61,73,86,100,140,150,150,150,12315,1,27,31,2,164,79845
"1749107495","34","","Aggregated",254.60,0.00,27,36,42,46,61,73,88,110,130,150,150,150,12578,1,27,31,2,164,79860
"1749107496","34","","Aggregated",256.50,0.00,27,36,42,47,60,72,88,110,130,150,150,150,12828,1,27,31,2,164,79801
"1749107497","34","","Aggregated",259.10,0.00,27,36,42,47,61,74,90,110,130,150,150,150,13085,1,27,31,2,164,79710
"1749107498","34","","Aggregated",257.60,0.00,27,36,42,46,61,73,91,110,130,150,150,150,13335,1,27,31,2,164,79667
"1749107499","34","","Aggregated",255.30,0.00,27,36,42,46,59,73,90,100,130,150,150,150,13596,1,27,30,2,164,79557
"1749107500","34","","Aggregated",257.20,0.00,27,36,42,46,59,72,88,100,130,150,150,150,13860,2,27,31,2,164,79636
"1749107501","34","","Aggregated",256.40,0.00,27,36,42,46,60,74,89,100,130,150,150,150,14122,2,27,30,2,164,79634
"1749107502","34","","Aggregated",257.40,0.10,27,36,42,47,60,73,88,100,130,130,130,130,14362,2,27,31,2,164,79801
"1749107503","34","","Aggregated",258.30,0.10,27,36,42,46,59,73,90,100,130,130,130,130,14602,2,27,31,2,164,79795
"1749107504","34","","Aggregated",255.90,0.10,27,36,42,46,59,73,90,100,130,140,140,140,14869,2,27,31,2,164,79945
"1749107505","34","","Aggregated",256.50,0.10,27,36,42,46,58,72,91,100,130,150,150,150,15124,2,27,30,2,164,79915
"1749107506","34","","Aggregated",254.30,0.10,27,36,42,46,59,73,92,100,130,150,150,150,15375,2,27,31,2,164,79936
"1749107507","34","","Aggregated",253.00,0.10,28,37,42,46,59,73,90,100,140,150,150,150,15634,2,27,31,2,164,79976
"1749107508","34","","Aggregated",252.60,0.10,28,37,42,47,61,74,90,100,140,150,150,150,15896,2,27,31,2,164,80156
"1749107509","34","","Aggregated",254.70,0.10,28,37,42,47,61,74,90,100,140,150,150,150,16142,2,27,31,2,164,80307
"1749107510","34","","Aggregated",253.60,0.10,28,37,42,46,61,73,90,100,140,160,160,160,16410,2,27,31,2,164,80378
"1749107511","34","","Aggregated",254.10,0.10,27,36,41,46,61,73,90,100,140,160,160,160,16648,2,27,31,2,164,80394
"1749107512","34","","Aggregated",255.00,0.00,28,37,42,47,61,72,90,100,140,160,160,160,16909,2,27,31,2,164,80430
"1749107513","34","","Aggregated",253.30,0.00,28,36,41,46,61,73,90,100,140,160,160,160,17182,2,27,31,2,164,80399
"1749107514","34","","Aggregated",253.40,0.00,28,37,42,47,61,74,90,100,140,160,160,160,17439,2,27,31,2,164,80481
"1749107515","34","","Aggregated",254.00,0.00,28,37,42,47,60,74,90,100,130,160,160,160,17673,2,27,31,2,164,80505
"1749107516","34","","Aggregated",256.00,0.00,28,36,42,46,60,73,89,99,140,160,160,160,17918,3,27,31,2,164,80500
"1749107517","34","","Aggregated",255.10,0.00,28,36,42,46,60,72,88,94,130,160,160,160,18165,3,27,31,2,164,80514
"1749107518","34","","Aggregated",254.90,0.10,28,36,42,47,60,71,88,99,130,160,160,160,18404,3,27,31,2,164,80743
"1749107519","34","","Aggregated",252.40,0.10,29,37,42,47,60,72,88,99,130,140,140,140,18656,3,27,31,2,164,80884
"1749107520","34","","Aggregated",250.20,0.10,29,37,43,48,61,74,89,99,130,140,140,140,18906,3,27,31,2,164,80882
"1749107521","34","","Aggregated",251.00,0.10,29,37,43,47,61,74,90,100,140,140,140,140,19156,3,27,31,2,164,80899
"1749107522","34","","Aggregated",247.60,0.10,29,37,43,47,61,74,90,100,140,140,140,140,19425,3,27,31,2,164,80912
"1749107523","34","","Aggregated",248.80,0.10,29,37,44,48,60,73,89,100,140,140,140,140,19688,3,27,31,2,164,80932
"1749107524","34","","Aggregated",248.60,0.10,29,37,44,48,60,73,89,110,140,180,180,180,19932,3,27,31,2,179,80921
"1749107525","34","","Aggregated",250.90,0.10,29,38,44,48,61,74,91,110,160,180,180,180,20182,3,27,31,2,179,81067
"1749107526","34","","Aggregated",249.80,0.10,30,38,44,48,61,74,89,110,160,180,180,180,20438,3,28,31,2,179,81073
"1749107527","34","","Aggregated",248.40,0.10,29,38,44,48,61,75,89,110,160,190,190,190,20693,3,28,31,2,185,81129
"1749107528","34","","Aggregated",250.40,0.00,29,37,44,47,61,75,89,110,160,190,190,190,20940,3,28,31,2,185,81122
"1749107529","34","","Aggregated",250.70,0.00,29,37,44,48,61,76,93,110,160,190,190,190,21195,3,28,31,2,185,81163
"1749107530","34","","Aggregated",253.00,0.00,29,38,45,48,62,76,90,110,160,190,190,190,21448,3,28,31,2,185,81260
"1749107531","34","","Aggregated",251.80,0.00,30,38,45,48,62,76,90,110,160,190,190,190,21687,3,28,31,2,185,81322
"1749107532","34","","Aggregated",253.50,0.00,30,38,45,48,61,76,90,110,160,190,190,190,21926,3,28,31,2,185,81364
"1749107533","34","","Aggregated",250.90,0.00,30,38,44,48,61,76,88,110,160,190,190,190,22183,3,28,31,2,185,81400
