"Timestamp","User Count","Type","Name","Requests/s","Failures/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999%","100%","Total Request Count","Total Failure Count","Total Median Response Time","Total Average Response Time","Total Min Response Time","Total Max Response Time","Total Average Content Size"
"1749115052","1","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1749115053","2","","Aggregated",0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,8,0,43,45,10,75,100119
"1749115054","3","","Aggregated",0.00,0.00,43,53,66,70,76,77,90,90,90,90,90,90,22,0,34,40,5,89,89681
"1749115055","4","","Aggregated",0.00,0.00,31,48,53,57,76,82,99,99,99,99,99,99,43,0,31,36,4,99,81298
"1749115056","5","","Aggregated",4.50,0.00,31,46,51,56,70,78,90,99,99,99,99,99,75,0,31,33,4,99,76684
"1749115057","6","","Aggregated",8.00,0.00,34,48,54,57,66,78,90,99,200,200,200,200,108,0,34,36,4,202,87563
"1749115058","7","","Aggregated",11.25,0.00,33,46,53,57,66,82,93,110,200,200,200,200,154,0,33,36,4,202,88918
"1749115059","8","","Aggregated",15.20,0.00,30,43,49,54,64,78,90,99,200,200,200,200,207,0,30,34,4,202,80823
"1749115060","9","","Aggregated",18.17,0.00,30,43,49,54,64,77,90,100,200,200,200,200,273,0,30,33,4,202,82806
"1749115061","10","","Aggregated",22.00,0.00,30,42,48,54,64,78,95,100,200,200,200,200,345,0,30,33,4,202,82673
"1749115063","11","","Aggregated",26.00,0.00,30,41,48,53,63,79,99,110,200,200,200,200,411,0,30,33,4,202,83805
"1749115064","12","","Aggregated",34.60,0.00,30,40,48,51,62,79,100,120,200,200,200,200,499,0,30,33,4,202,83220
"1749115065","13","","Aggregated",41.10,0.00,30,39,45,51,62,76,100,120,200,200,200,200,590,0,30,33,3,202,81781
"1749115066","14","","Aggregated",48.90,0.00,29,38,45,50,63,79,100,110,200,200,200,200,688,0,29,32,3,202,82032
"1749115067","15","","Aggregated",56.40,0.00,28,37,45,50,64,78,100,110,170,170,170,170,795,0,28,32,3,202,81998
"1749115068","16","","Aggregated",64.10,0.00,28,37,44,49,64,78,100,110,170,170,170,170,902,0,28,32,3,202,82393
"1749115069","17","","Aggregated",71.70,0.00,29,37,45,50,66,78,100,110,170,170,170,170,1017,0,29,32,3,202,83824
"1749115070","18","","Aggregated",78.80,0.00,29,37,45,49,64,78,99,110,170,170,170,170,1146,0,29,32,3,202,84286
"1749115071","19","","Aggregated",86.00,0.00,29,38,44,49,63,76,96,110,170,170,170,170,1298,0,29,32,3,202,83607
"1749115072","20","","Aggregated",93.40,0.00,28,37,44,48,61,75,91,110,160,170,170,170,1452,0,29,32,3,202,83416
"1749115073","21","","Aggregated",101.80,0.00,27,37,43,47,61,76,88,110,140,160,160,160,1615,0,28,31,3,202,82897
"1749115074","22","","Aggregated",110.00,0.00,28,37,44,48,63,76,96,110,140,160,160,160,1778,0,29,32,3,202,83467
"1749115075","23","","Aggregated",119.60,0.00,29,38,44,48,62,75,90,110,140,160,160,160,1954,0,29,32,3,202,84001
"1749115076","24","","Aggregated",127.20,0.00,29,38,44,48,62,76,90,100,140,160,160,160,2124,0,29,32,3,202,84292
"1749115077","25","","Aggregated",135.60,0.00,29,39,45,49,63,76,89,100,140,160,160,160,2312,0,29,32,3,202,85038
"1749115078","26","","Aggregated",142.60,0.00,29,39,45,49,63,75,88,100,140,160,160,160,2506,0,29,32,3,202,85568
"1749115079","27","","Aggregated",150.30,0.00,30,39,45,50,63,75,88,100,140,140,140,140,2711,0,29,32,3,202,85885
"1749115080","28","","Aggregated",160.20,0.00,29,39,45,50,64,76,90,100,140,140,140,140,2913,0,29,32,3,202,85979
"1749115081","29","","Aggregated",167.60,0.00,30,39,45,50,64,76,90,110,140,140,140,140,3130,0,29,32,3,202,85923
"1749115082","30","","Aggregated",175.70,0.00,29,39,45,49,63,75,89,110,140,160,160,160,3362,0,29,32,3,202,85045
"1749115083","31","","Aggregated",181.90,0.00,28,38,45,49,63,75,91,110,140,160,160,160,3586,0,28,32,3,202,85250
"1749115084","32","","Aggregated",190.00,0.00,28,38,44,49,63,76,93,110,150,160,160,160,3820,0,28,32,3,202,85025
"1749115085","33","","Aggregated",196.10,0.00,28,38,44,49,63,75,93,110,150,160,160,160,4031,0,28,32,3,202,85431
"1749115086","34","","Aggregated",202.90,0.00,27,37,44,48,62,75,93,110,150,160,160,160,4271,0,28,32,3,202,84955
"1749115087","35","","Aggregated",206.30,0.00,27,37,44,48,62,76,93,110,140,160,160,160,4538,0,28,32,3,202,85035
"1749115088","36","","Aggregated",213.10,0.00,27,37,44,48,62,76,97,110,150,160,160,160,4800,0,28,32,3,202,85352
"1749115089","37","","Aggregated",221.20,0.00,27,37,44,49,63,76,98,110,150,160,160,160,5051,0,28,32,3,202,85029
"1749115090","38","","Aggregated",227.20,0.00,28,37,44,49,63,77,98,110,150,160,160,160,5299,0,28,32,3,202,85390
"1749115091","39","","Aggregated",233.60,0.00,28,38,45,50,65,79,99,110,150,160,160,160,5588,0,28,32,3,202,85460
"1749115092","40","","Aggregated",236.90,0.00,28,38,45,49,64,77,95,110,150,160,160,160,5896,0,28,32,3,202,85176
"1749115093","41","","Aggregated",243.70,0.00,29,38,45,50,65,78,94,110,150,160,160,160,6207,0,28,32,3,202,85242
"1749115094","42","","Aggregated",250.50,0.00,28,38,45,49,65,78,94,110,150,160,160,160,6515,0,28,32,3,202,85165
"1749115095","42","","Aggregated",258.50,0.00,29,38,45,49,66,78,94,110,150,160,160,160,6819,0,28,32,3,202,85277
"1749115096","42","","Aggregated",266.60,0.00,29,38,45,49,65,77,94,110,150,160,160,160,7142,0,29,32,3,202,84938
"1749115097","42","","Aggregated",278.10,0.00,29,38,45,49,65,78,94,110,140,150,150,150,7447,0,29,32,3,202,85253
"1749115098","42","","Aggregated",285.70,0.00,29,38,44,48,64,77,93,100,140,150,150,150,7763,0,28,32,2,202,84967
"1749115099","42","","Aggregated",289.20,0.00,29,38,44,48,63,77,94,110,150,160,160,160,8089,0,29,32,2,202,85298
"1749115100","42","","Aggregated",294.10,0.00,29,38,44,49,63,76,94,110,150,160,160,160,8411,0,29,32,2,202,85629
"1749115101","42","","Aggregated",300.40,0.00,29,38,44,49,64,77,94,110,140,160,160,160,8716,0,29,32,2,202,85614
"1749115102","42","","Aggregated",307.80,0.00,30,39,45,49,64,77,94,110,150,180,180,180,9021,0,29,32,2,202,85736
"1749115103","42","","Aggregated",311.60,0.00,30,39,45,49,64,77,94,110,150,180,180,180,9321,0,29,32,2,202,85834
"1749115104","42","","Aggregated",310.80,0.00,30,39,45,49,63,77,94,110,160,180,180,180,9633,0,29,32,2,202,85776
"1749115105","42","","Aggregated",312.70,0.00,29,39,45,49,64,77,96,110,160,180,180,180,9970,0,29,32,2,202,85515
"1749115106","42","","Aggregated",310.50,0.00,29,39,45,49,63,77,94,110,160,180,180,180,10270,0,29,32,2,202,85574
"1749115107","42","","Aggregated",310.60,0.00,29,39,45,50,63,77,94,110,160,180,180,180,10594,0,29,32,2,202,85222
"1749115108","42","","Aggregated",311.10,0.00,29,39,45,50,63,77,94,110,140,180,180,180,10900,0,29,32,2,202,85306
"1749115109","42","","Aggregated",312.00,0.00,29,39,45,49,63,76,93,110,140,180,180,180,11199,0,29,32,2,202,85309
"1749115110","42","","Aggregated",312.50,0.00,29,39,45,49,63,75,93,110,140,180,180,180,11522,0,29,32,2,202,85363
"1749115111","42","","Aggregated",310.20,0.00,29,39,45,49,62,75,94,110,140,160,160,160,11821,0,29,32,2,202,85300
"1749115112","42","","Aggregated",310.00,0.00,29,38,45,48,62,74,94,110,140,160,160,160,12133,0,29,32,2,202,85248
"1749115113","42","","Aggregated",308.10,0.00,29,38,45,48,61,73,93,110,140,150,150,150,12449,0,29,32,2,202,85285
