"Timestamp","User Count","Type","Name","Requests/s","Failures/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999%","100%","Total Request Count","Total Failure Count","Total Median Response Time","Total Average Response Time","Total Min Response Time","Total Max Response Time","Total Average Content Size"
"1749118851","1","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1749118852","2","","Aggregated",0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,9,0,45,56,33,119,129340
"1749118853","3","","Aggregated",0.00,0.00,38,49,53,71,94,110,110,110,110,110,110,110,26,0,39,47,5,119,110272
"1749118854","4","","Aggregated",8.00,0.00,35,42,49,57,71,94,150,150,150,150,150,150,53,0,38,41,5,154,94392
"1749118855","5","","Aggregated",12.50,0.00,35,45,49,51,71,86,110,150,150,150,150,150,78,0,37,39,5,154,90377
"1749118856","6","","Aggregated",16.67,0.00,35,46,50,57,73,83,94,110,150,150,150,150,114,0,36,40,5,154,95000
"1749118857","7","","Aggregated",19.00,0.00,36,46,52,57,77,86,100,110,150,150,150,150,158,0,37,39,4,154,98604
"1749118858","8","","Aggregated",22.00,0.00,34,46,50,57,75,83,96,110,150,150,150,150,208,0,35,37,4,154,94440
"1749118859","9","","Aggregated",25.83,0.00,35,46,50,56,72,80,90,100,150,150,150,150,263,0,35,38,4,154,94970
"1749118860","10","","Aggregated",29.43,0.00,33,42,49,52,68,80,90,98,150,150,150,150,330,0,34,36,4,154,90678
"1749118861","11","","Aggregated",32.00,0.00,32,42,50,53,71,82,98,100,150,150,150,150,408,0,32,35,4,154,88784
"1749118862","12","","Aggregated",35.89,0.00,31,42,49,52,67,80,92,100,150,150,150,150,487,0,32,35,4,154,89088
"1749118863","13","","Aggregated",40.20,0.00,29,41,49,52,67,80,98,100,120,120,120,120,588,0,30,34,4,154,86779
"1749118864","14","","Aggregated",47.30,0.00,29,41,49,52,67,80,98,100,120,120,120,120,683,0,30,34,3,154,88466
"1749118865","15","","Aggregated",54.80,0.00,29,40,48,52,67,79,98,100,120,120,120,120,791,0,30,33,3,154,88227
"1749118866","16","","Aggregated",62.70,0.00,28,39,47,52,65,77,97,100,120,120,120,120,911,0,30,33,3,154,89149
"1749118867","17","","Aggregated",69.90,0.00,27,39,46,52,65,78,97,100,120,120,120,120,1038,0,29,33,3,154,88518
"1749118868","18","","Aggregated",79.10,0.00,27,38,45,51,64,76,97,100,120,120,120,120,1164,0,29,32,3,154,87801
"1749118869","19","","Aggregated",86.70,0.00,27,38,45,50,64,75,92,100,120,120,120,120,1308,0,29,32,3,154,87455
"1749118870","20","","Aggregated",94.20,0.00,27,37,45,50,63,73,89,99,120,120,120,120,1453,0,29,32,3,154,86679
"1749118871","21","","Aggregated",103.10,0.00,27,38,45,50,63,75,89,98,120,120,120,120,1602,0,29,32,3,154,87733
"1749118872","22","","Aggregated",111.40,0.00,28,38,45,50,63,74,88,98,110,120,120,120,1754,0,29,32,3,154,86904
"1749118873","23","","Aggregated",117.80,0.00,28,38,44,50,62,73,86,97,110,120,120,120,1940,0,29,32,3,154,86971
"1749118874","24","","Aggregated",125.70,0.00,28,38,44,49,62,73,85,97,120,120,120,120,2101,0,29,32,3,154,86869
"1749118875","25","","Aggregated",134.10,0.00,29,38,45,49,62,73,86,97,120,120,120,120,2265,0,29,32,3,154,87613
"1749118876","26","","Aggregated",139.60,0.00,29,38,44,48,62,73,86,96,120,120,120,120,2424,0,29,32,3,154,87145
