learning_rate,hidden_dim,num_layers,batch_size,validation_rmse
0.0002,500,5,1024,0.4166
0.0002,500,6,1024,0.4245
0.0002,500,7,1024,0.4405
0.0002,500,8,1024,0.4568
0.0002,600,1,1024,0.2813
0.0002,600,2,1024,0.2836
0.0002,600,3,1024,0.3011
0.0002,600,4,1024,0.3293
0.0002,600,5,1024,0.351
0.0002,600,6,1024,0.4143
0.0002,600,7,1024,0.4552
0.0002,600,8,1024,0.462
0.0002,700,1,1024,0.2779
0.0002,700,2,1024,0.2784
0.0002,700,3,1024,0.3029
0.0002,700,4,1024,0.339
0.0002,700,5,1024,0.4994
0.0002,700,6,1024,0.4127
0.0002,700,7,1024,0.4828
0.0002,700,8,1024,0.488
0.0002,800,1,1024,0.2795
0.0002,800,2,1024,0.279
0.0002,800,3,1024,0.2975
0.0002,800,4,1024,0.3301
0.0002,800,5,1024,0.3884
0.0002,800,6,1024,0.455
0.0002,800,7,1024,0.4452
0.0002,800,8,1024,0.5295
0.0005,100,1,1024,0.2861
0.0005,100,2,1024,0.2968
0.0005,100,3,1024,0.3094
0.0005,100,4,1024,0.3263
0.0005,100,5,1024,0.3795
0.0005,100,6,1024,0.3846
0.0005,100,7,1024,0.9825
0.0005,100,8,1024,0.9825
0.0005,200,1,1024,0.282
0.0005,200,2,1024,0.2873
0.0005,200,3,1024,0.3009
0.0005,200,4,1024,0.342
0.0005,200,5,1024,0.3946
0.0005,200,6,1024,0.3868
0.0005,200,7,1024,0.6662
0.0005,200,8,1024,0.9824
0.0005,300,1,1024,0.2804
0.0005,300,2,1024,0.2889
0.0005,300,3,1024,0.3134
0.0005,300,4,1024,0.3269
0.0005,300,5,1024,0.3727
0.0005,300,6,1024,0.4689
0.0005,300,7,1024,0.5264
0.0005,300,8,1024,0.4503
0.0005,400,1,1024,0.2808
0.0005,400,2,1024,0.2858
0.0005,400,3,1024,0.3041
0.0005,400,4,1024,0.3704
0.0005,400,5,1024,0.4031
0.0005,400,6,1024,0.4288
0.0005,400,7,1024,0.41
0.0005,400,8,1024,0.3897
0.0005,500,1,1024,0.2781
0.0005,500,2,1024,0.2844
0.0005,500,3,1024,0.3193
0.0005,500,4,1024,0.3445
0.0005,500,5,1024,0.3914
0.0005,500,6,1024,0.4458
0.0005,500,7,1024,0.4346
0.0005,500,8,1024,0.405
0.0005,600,1,1024,0.2798
0.0005,600,2,1024,0.2843
0.0005,600,3,1024,0.3046
0.0005,600,4,1024,0.3169
0.0005,600,5,1024,0.4063
0.0005,600,6,1024,0.4577
0.0005,600,7,1024,0.4874
0.0005,600,8,1024,0.4578
0.0005,700,1,1024,0.2764
0.0005,700,2,1024,0.29
0.0005,700,3,1024,0.3255
0.0005,700,4,1024,0.4039
0.0005,700,5,1024,0.4801
0.0005,700,6,1024,0.4531
0.0005,700,7,1024,0.355
0.0005,700,8,1024,0.3624
0.0005,800,1,1024,0.2804
0.0005,800,2,1024,0.2931
0.0005,800,3,1024,0.2975
0.0005,800,4,1024,0.3869
0.0005,800,5,1024,0.5197
0.0005,800,6,1024,0.4241
0.0005,800,7,1024,0.429
0.0005,800,8,1024,0.379
0.001,100,1,1024,0.2931
0.001,100,2,1024,0.3176
0.001,100,3,1024,0.318
0.001,100,4,1024,0.343
0.001,100,5,1024,0.3923
0.001,100,6,1024,0.3844
0.001,100,7,1024,0.9825
0.001,100,8,1024,0.9825
0.001,200,1,1024,0.2923
0.001,200,2,1024,0.3041
0.001,200,3,1024,0.3107
0.001,200,4,1024,0.3551
0.001,200,5,1024,0.3831
