learning_rate,hidden_dim,num_layers,batch_size,validation_rmse
0.0002,500,4,1024,0.3224
0.0002,500,5,1024,0.3442
0.0002,500,6,1024,0.401
0.0002,500,7,1024,0.4642
0.0002,500,8,1024,0.4822
0.0002,600,1,1024,0.3019
0.0002,600,2,1024,0.2944
0.0002,600,3,1024,0.3063
0.0002,600,4,1024,0.3315
0.0002,600,5,1024,0.3452
0.0002,600,6,1024,0.4281
0.0002,600,7,1024,0.4405
0.0002,600,8,1024,0.4463
0.0002,700,1,1024,0.3084
0.0002,700,2,1024,0.2969
0.0002,700,3,1024,0.3032
0.0002,700,4,1024,0.33
0.0002,700,5,1024,0.3684
0.0002,700,6,1024,0.4172
0.0002,700,7,1024,0.4473
0.0002,700,8,1024,0.4451
0.0002,800,1,1024,0.3103
0.0002,800,2,1024,0.3034
0.0002,800,3,1024,0.2976
0.0002,800,4,1024,0.3264
0.0002,800,5,1024,0.3602
0.0002,800,6,1024,0.3815
0.0002,800,7,1024,0.431
0.0002,800,8,1024,0.4819
0.0005,100,1,1024,0.3111
0.0005,100,2,1024,0.2992
0.0005,100,3,1024,0.3115
0.0005,100,4,1024,0.3567
0.0005,100,5,1024,0.4042
0.0005,100,6,1024,0.4543
0.0005,100,7,1024,0.9825
0.0005,100,8,1024,0.9824
0.0005,200,1,1024,0.3171
0.0005,200,2,1024,0.3053
0.0005,200,3,1024,0.3225
0.0005,200,4,1024,0.3147
0.0005,200,5,1024,0.3909
0.0005,200,6,1024,0.4775
0.0005,200,7,1024,0.4968
0.0005,200,8,1024,0.9825
0.0005,300,1,1024,0.3337
0.0005,300,2,1024,0.3138
0.0005,300,3,1024,0.3118
0.0005,300,4,1024,0.3168
0.0005,300,5,1024,0.3572
0.0005,300,6,1024,0.5396
0.0005,300,7,1024,0.4281
0.0005,300,8,1024,0.5053
0.0005,400,1,1024,0.3312
0.0005,400,2,1024,0.3066
0.0005,400,3,1024,0.33
0.0005,400,4,1024,0.3196
0.0005,400,5,1024,0.358
0.0005,400,6,1024,0.4407
0.0005,400,7,1024,0.4761
0.0005,400,8,1024,0.422
0.0005,500,1,1024,0.3431
0.0005,500,2,1024,0.331
0.0005,500,3,1024,0.3215
0.0005,500,4,1024,0.3354
0.0005,500,5,1024,0.3254
0.0005,500,6,1024,0.4327
0.0005,500,7,1024,0.4499
0.0005,500,8,1024,0.5522
0.0005,600,1,1024,0.3517
0.0005,600,2,1024,0.3438
0.0005,600,3,1024,0.3229
0.0005,600,4,1024,0.3419
0.0005,600,5,1024,0.3557
0.0005,600,6,1024,0.472
0.0005,600,7,1024,0.4239
0.0005,600,8,1024,0.3828
0.0005,700,1,1024,0.361
0.0005,700,2,1024,0.3161
0.0005,700,3,1024,0.3186
0.0005,700,4,1024,0.3462
0.0005,700,5,1024,0.4591
0.0005,700,6,1024,0.5671
0.0005,700,7,1024,0.4044
0.0005,700,8,1024,0.4619
0.0005,800,1,1024,0.3599
0.0005,800,2,1024,0.3513
0.0005,800,3,1024,0.3455
0.0005,800,4,1024,0.3556
0.0005,800,5,1024,0.343
0.0005,800,6,1024,0.4304
0.0005,800,7,1024,0.4076
0.0005,800,8,1024,0.4963
0.001,100,1,1024,0.361
0.001,100,2,1024,0.3393
0.001,100,3,1024,0.3345
0.001,100,4,1024,0.3611
0.001,100,5,1024,0.4755
0.001,100,6,1024,0.5163
0.001,100,7,1024,0.9825
0.001,100,8,1024,0.9825
0.001,200,1,1024,0.416
0.001,200,2,1024,0.3591
0.001,200,3,1024,0.3596
0.001,200,4,1024,0.3472
0.001,200,5,1024,0.5109
0.001,200,6,1024,0.4754
0.001,200,7,1024,0.4571
0.001,200,8,1024,0.9825
0.001,300,1,1024,0.4557
0.001,300,2,1024,0.3671
0.001,300,3,1024,0.377
0.001,300,4,1024,0.352
0.001,300,5,1024,0.4043
0.001,300,6,1024,0.4329
0.001,300,7,1024,0.7382
0.001,300,8,1024,0.6524
0.001,400,1,1024,0.4585
0.001,400,2,1024,0.3863
0.001,400,3,1024,0.377
0.001,400,4,1024,0.3523
0.001,400,5,1024,0.6884
0.001,400,6,1024,0.4492
0.001,400,7,1024,0.4504
0.001,400,8,1024,0.6675
0.001,500,1,1024,0.5182
0.001,500,2,1024,0.4026
0.001,500,3,1024,0.3842
0.001,500,4,1024,0.3969
0.001,500,5,1024,0.408
0.001,500,6,1024,0.4549
0.001,500,7,1024,0.5724
0.001,500,8,1024,0.4722
0.001,600,1,1024,0.5539
0.001,600,2,1024,0.4254
0.001,600,3,1024,0.4187
0.001,600,4,1024,0.4802
0.001,600,5,1024,0.5204
0.001,600,6,1024,0.518
0.001,600,7,1024,0.7358
0.001,600,8,1024,0.4768
0.001,700,1,1024,0.6034
0.001,700,2,1024,0.4448
0.001,700,3,1024,0.4299
0.001,700,4,1024,0.5525
0.001,700,5,1024,0.6979
0.001,700,6,1024,0.541
0.001,700,7,1024,0.5342
0.001,700,8,1024,0.5554
0.001,800,1,1024,0.6391
0.001,800,2,1024,0.4814
0.001,800,3,1024,0.4581
0.001,800,4,1024,0.8019
0.001,800,5,1024,0.4724
0.001,800,6,1024,0.6409
0.001,800,7,1024,0.5764
0.001,800,8,1024,0.7389
