"Timestamp","User Count","Type","Name","Requests/s","Failures/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999%","100%","Total Request Count","Total Failure Count","Total Median Response Time","Total Average Response Time","Total Min Response Time","Total Max Response Time","Total Average Content Size"
"1749088400","1","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1749088401","2","","Aggregated",0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,7,0,52,47,10,91,98628
"1749088402","3","","Aggregated",0.00,0.00,51,55,61,71,91,92,92,92,92,92,92,92,20,0,30,40,5,92,87814
"1749088403","4","","Aggregated",2.00,0.00,47,52,61,61,77,91,92,92,92,92,92,92,41,0,39,39,4,92,88905
"1749088404","5","","Aggregated",6.00,0.00,43,51,57,61,67,77,91,92,92,92,92,92,69,0,39,39,4,92,93852
"1749088405","6","","Aggregated",8.67,0.00,39,49,54,61,67,77,91,92,120,120,120,120,105,1,37,38,4,120,90396
"1749088406","7","","Aggregated",11.00,0.00,37,48,52,59,67,77,92,120,120,120,120,120,144,1,37,38,4,120,91304
"1749088407","8","","Aggregated",15.80,0.00,35,44,51,54,65,77,120,140,170,170,170,170,200,2,34,37,3,172,88500
"1749088408","9","","Aggregated",19.50,0.17,35,44,51,54,65,77,92,120,170,170,170,170,259,2,35,36,3,172,90893
"1749088409","10","","Aggregated",23.29,0.29,34,44,51,54,63,76,98,120,170,170,170,170,331,2,34,36,3,172,91696
"1749088410","11","","Aggregated",26.50,0.25,32,43,49,53,63,78,98,120,170,170,170,170,412,2,32,35,3,172,89976
"1749088411","12","","Aggregated",31.00,0.22,32,43,50,54,63,78,100,120,170,170,170,170,484,2,32,35,3,172,91007
"1749088412","13","","Aggregated",35.20,0.20,32,43,49,53,63,76,100,120,170,170,170,170,576,2,32,34,3,172,91520
"1749088413","14","","Aggregated",42.20,0.20,32,42,49,53,63,76,100,120,170,170,170,170,672,2,32,35,3,172,92575
"1749088414","14","","Aggregated",49.70,0.20,31,42,49,53,64,81,100,120,170,170,170,170,774,2,32,34,3,172,92980
"1749088415","14","","Aggregated",56.90,0.20,31,41,49,52,64,78,100,120,170,170,170,170,879,2,32,34,3,172,92786
"1749088416","14","","Aggregated",65.20,0.20,30,41,48,52,65,81,100,110,170,170,170,170,990,2,31,34,3,172,91371
"1749088417","14","","Aggregated",71.40,0.20,30,41,48,52,65,82,100,110,160,160,160,160,1073,2,31,34,3,172,91918
"1749088418","14","","Aggregated",78.10,0.10,30,42,49,53,66,86,100,110,160,160,160,160,1178,2,31,34,3,172,91253
"1749088419","14","","Aggregated",84.60,0.00,30,41,49,53,67,85,100,110,160,160,160,160,1280,2,31,34,3,172,91634
"1749088420","14","","Aggregated",88.40,0.00,30,41,49,53,67,85,100,110,160,160,160,160,1385,2,31,34,3,172,91741
"1749088421","14","","Aggregated",91.60,0.00,31,41,49,52,66,85,100,110,160,160,160,160,1488,2,31,34,3,172,92191
"1749088422","14","","Aggregated",95.30,0.00,31,41,48,52,66,85,99,110,160,160,160,160,1577,2,31,34,3,172,92904
"1749088423","14","","Aggregated",97.70,0.00,30,40,48,52,66,83,97,110,160,160,160,160,1689,2,31,33,3,172,92310
"1749088424","14","","Aggregated",99.80,0.00,30,39,48,52,65,81,97,110,160,160,160,160,1788,2,31,33,3,172,92272
"1749088425","14","","Aggregated",99.90,0.00,30,41,48,53,65,83,94,99,150,150,150,150,1874,2,31,34,3,172,93008
"1749088426","14","","Aggregated",100.80,0.00,31,41,48,53,65,84,95,100,150,150,150,150,1989,2,31,34,3,172,93262
"1749088427","14","","Aggregated",100.50,0.00,30,41,48,53,64,81,94,110,150,150,150,150,2092,2,31,34,3,172,93549
"1749088428","14","","Aggregated",99.00,0.00,31,40,48,53,63,80,93,99,130,150,150,150,2203,2,31,33,3,172,93400
"1749088429","14","","Aggregated",99.00,0.00,31,40,48,53,63,79,92,100,150,150,150,150,2292,2,31,34,3,172,93708
"1749088430","14","","Aggregated",101.80,0.00,31,41,48,53,64,81,93,110,140,140,140,140,2396,2,31,34,3,172,93954
"1749088431","14","","Aggregated",102.10,0.00,30,40,47,53,64,81,93,110,140,140,140,140,2505,2,31,34,3,172,93543
"1749088432","14","","Aggregated",99.80,0.00,31,40,48,53,66,84,94,110,140,140,140,140,2604,2,31,34,3,172,94377
"1749088433","14","","Aggregated",100.80,0.00,32,41,47,53,67,84,97,110,140,140,140,140,2702,2,31,34,3,172,94384
"1749088434","14","","Aggregated",100.90,0.00,32,41,47,53,68,84,95,110,140,150,150,150,2816,2,31,34,3,172,94654
"1749088435","14","","Aggregated",102.00,0.00,32,40,47,52,68,84,100,110,140,150,150,150,2912,2,31,34,3,172,95104
"1749088436","14","","Aggregated",100.50,0.00,32,40,46,51,66,80,98,110,140,150,150,150,3014,2,31,34,3,172,95326
"1749088437","14","","Aggregated",102.10,0.00,32,40,46,51,66,82,98,110,150,150,150,150,3107,2,31,34,3,172,95441
"1749088438","14","","Aggregated",103.50,0.00,31,40,46,51,66,82,97,110,150,150,150,150,3216,2,31,34,3,172,95134
"1749088439","14","","Aggregated",102.50,0.00,31,40,46,51,65,81,96,110,140,150,150,150,3307,2,31,34,3,172,95474
"1749088440","14","","Aggregated",100.80,0.00,32,41,47,51,66,80,93,110,150,150,150,150,3397,2,31,34,3,172,95870
"1749088441","14","","Aggregated",100.50,0.00,32,41,47,52,67,82,100,110,150,150,150,150,3505,2,31,34,3,172,96176
"1749088442","14","","Aggregated",101.00,0.00,31,40,46,50,64,80,96,110,150,150,150,150,3623,2,31,34,3,172,95350
"1749088443","14","","Aggregated",99.50,0.00,30,39,45,49,62,77,95,110,150,150,150,150,3736,2,31,33,3,172,94740
"1749088444","14","","Aggregated",99.40,0.00,31,40,45,50,63,78,95,110,140,150,150,150,3839,2,31,34,3,172,94969
"1749088445","14","","Aggregated",101.30,0.00,30,39,45,49,62,76,90,100,130,150,150,150,3948,2,31,33,3,172,94662
"1749088446","14","","Aggregated",103.00,0.00,30,39,46,51,63,78,91,100,130,150,150,150,4050,2,31,33,3,172,94748
"1749088447","14","","Aggregated",102.60,0.00,30,39,46,50,64,78,96,100,150,150,150,150,4138,2,31,34,3,172,94865
"1749088448","14","","Aggregated",102.90,0.00,31,40,47,50,65,79,96,110,150,150,150,150,4232,2,31,34,3,172,95117
"1749088449","14","","Aggregated",102.90,0.00,30,40,47,50,65,79,98,110,150,150,150,150,4337,2,31,34,3,172,95016
"1749088450","14","","Aggregated",101.80,0.00,30,39,46,49,64,78,96,100,150,150,150,150,4444,2,31,33,3,172,95018
"1749088452","14","","Aggregated",101.50,0.00,30,40,47,50,65,78,92,100,150,150,150,150,4550,2,31,33,3,172,94935
"1749088453","14","","Aggregated",104.00,0.00,31,41,47,51,66,79,97,100,160,160,160,160,4658,2,31,33,3,172,95066
"1749088454","14","","Aggregated",104.00,0.00,31,40,46,50,65,79,97,100,160,160,160,160,4768,2,31,33,3,172,95001
"1749088455","14","","Aggregated",102.90,0.00,31,40,47,50,66,82,97,100,160,160,160,160,4865,2,31,33,3,172,95274
"1749088456","14","","Aggregated",102.60,0.00,31,40,46,49,66,81,96,100,160,160,160,160,4963,2,31,33,3,172,95204
"1749088457","14","","Aggregated",102.60,0.00,31,40,46,49,66,78,96,100,160,160,160,160,5061,2,31,33,3,172,95280
"1749088458","14","","Aggregated",101.00,0.00,30,39,46,49,64,78,96,100,160,160,160,160,5171,2,31,33,3,172,95162
"1749088459","14","","Aggregated",100.80,0.00,31,40,47,50,65,78,96,100,160,160,160,160,5260,2,31,33,3,172,95380
"1749088460","14","","Aggregated",102.50,0.00,31,40,47,50,64,78,95,100,160,160,160,160,5369,2,31,33,3,172,95234
"1749088461","14","","Aggregated",102.20,0.00,31,39,46,50,63,78,93,100,160,160,160,160,5468,2,31,33,3,172,95034
"1749088462","14","","Aggregated",102.20,0.00,31,39,46,50,62,75,89,97,160,160,160,160,5581,2,31,33,3,172,95151
"1749088463","14","","Aggregated",102.20,0.00,31,40,47,51,62,75,90,100,160,160,160,160,5679,2,31,33,3,172,95121
"1749088464","14","","Aggregated",102.80,0.00,30,40,47,51,62,74,93,100,160,160,160,160,5767,2,31,33,3,172,95061
"1749088465","14","","Aggregated",101.50,0.00,31,40,47,51,62,74,94,110,160,160,160,160,5879,2,31,33,3,172,95003
"1749088466","14","","Aggregated",99.10,0.00,30,40,47,50,61,73,94,100,160,160,160,160,5985,2,31,33,3,172,94832
"1749088467","14","","Aggregated",100.50,0.00,30,40,47,51,62,77,97,110,160,160,160,160,6076,2,31,33,3,172,94850
"1749088468","14","","Aggregated",101.20,0.00,29,40,46,50,62,76,94,100,160,160,160,160,6175,2,31,33,3,172,94687
"1749088469","14","","Aggregated",100.30,0.00,29,39,44,49,62,73,94,100,160,160,160,160,6274,2,31,33,3,172,94342
"1749088470","14","","Aggregated",100.20,0.00,29,40,45,49,63,76,97,110,160,160,160,160,6379,2,31,33,3,172,94426
"1749088471","14","","Aggregated",100.60,0.00,28,39,45,49,63,77,97,110,160,160,160,160,6489,2,31,33,3,172,94374
"1749088472","14","","Aggregated",100.70,0.00,29,39,45,49,62,75,92,100,160,160,160,160,6586,2,31,33,3,172,94416
"1749088473","14","","Aggregated",101.20,0.00,29,40,45,49,62,75,90,100,160,160,160,160,6700,2,31,33,3,172,94509
"1749088474","14","","Aggregated",99.30,0.00,29,39,45,49,62,74,90,100,160,160,160,160,6811,2,31,33,3,172,94380
"1749088475","14","","Aggregated",101.70,0.00,30,39,45,49,61,73,90,110,160,160,160,160,6918,2,31,33,3,172,94367
"1749088476","14","","Aggregated",104.20,0.00,29,39,45,49,61,73,90,100,140,140,140,140,7012,2,31,33,3,172,94281
"1749088477","14","","Aggregated",103.40,0.00,30,39,45,49,62,77,93,110,140,140,140,140,7124,2,31,33,3,172,94272
"1749088478","14","","Aggregated",102.70,0.00,31,41,46,51,63,77,93,110,140,140,140,140,7237,2,31,33,3,172,94519
"1749088479","14","","Aggregated",104.20,0.00,31,41,47,51,64,78,94,110,150,150,150,150,7327,2,31,33,3,172,94677
"1749088480","14","","Aggregated",105.60,0.00,32,41,47,52,64,78,95,110,150,150,150,150,7432,2,31,33,3,172,94790
"1749088481","14","","Aggregated",104.50,0.00,32,41,47,51,64,78,95,110,150,150,150,150,7533,2,31,33,3,172,94728
"1749088482","14","","Aggregated",104.70,0.00,31,40,47,51,63,80,99,110,150,150,150,150,7652,2,31,33,3,172,94616
"1749088483","14","","Aggregated",104.50,0.00,31,41,47,51,63,80,99,110,150,150,150,150,7755,2,31,33,3,172,94534
"1749088484","14","","Aggregated",105.90,0.00,30,41,47,51,62,80,95,110,150,150,150,150,7875,2,31,33,3,172,94365
"1749088485","14","","Aggregated",104.80,0.00,31,40,47,51,62,77,95,100,150,150,150,150,7977,2,31,33,3,172,94360
"1749088486","14","","Aggregated",105.10,0.00,31,39,46,50,62,75,96,110,150,150,150,150,8087,2,31,33,3,172,94281
"1749088487","14","","Aggregated",105.30,0.00,30,39,45,50,62,74,96,110,150,150,150,150,8192,2,31,33,3,172,94182
"1749088488","14","","Aggregated",106.90,0.00,29,38,44,49,61,73,92,100,150,150,150,150,8294,2,31,33,3,172,94028
"1749088489","14","","Aggregated",106.50,0.00,29,38,44,48,61,74,92,110,150,150,150,150,8393,2,31,33,3,172,93932
"1749088490","14","","Aggregated",105.00,0.00,28,37,43,48,60,73,93,110,150,150,150,150,8500,2,30,33,3,172,93715
"1749088491","14","","Aggregated",106.60,0.00,28,37,43,47,60,73,92,110,150,150,150,150,8601,2,30,33,3,172,93677
"1749088492","14","","Aggregated",106.00,0.00,28,37,42,46,59,72,89,110,140,140,140,140,8703,2,30,33,3,172,93573
"1749088493","14","","Aggregated",105.60,0.00,29,37,42,47,60,73,93,110,170,170,170,170,8813,2,30,33,3,172,93667
"1749088494","14","","Aggregated",105.20,0.00,29,38,43,47,61,73,96,120,170,170,170,170,8922,2,30,33,3,172,93762
"1749088495","14","","Aggregated",105.30,0.00,29,38,44,48,63,74,98,120,170,170,170,170,9021,2,30,33,3,172,93809
"1749088496","14","","Aggregated",104.60,0.00,29,38,44,48,61,73,94,120,170,170,170,170,9124,3,30,33,3,172,93725
