"Timestamp","User Count","Type","Name","Requests/s","Failures/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999%","100%","Total Request Count","Total Failure Count","Total Median Response Time","Total Average Response Time","Total Min Response Time","Total Max Response Time","Total Average Content Size"
"1749116941","1","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1749116942","2","","Aggregated",0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,7,0,18,33,5,101,56700
"1749116943","3","","Aggregated",0.00,0.00,42,43,46,58,69,90,90,90,90,90,90,90,19,0,38,38,5,101,75588
"1749116944","4","","Aggregated",6.00,0.00,41,45,48,49,69,90,92,92,92,92,92,92,40,0,38,37,5,101,77336
"1749116945","5","","Aggregated",9.00,0.00,34,46,52,68,80,92,110,110,110,110,110,110,70,0,34,38,5,113,81238
"1749116946","6","","Aggregated",12.33,0.00,34,45,50,54,70,85,93,110,110,110,110,110,110,0,34,37,4,113,82054
"1749116947","7","","Aggregated",16.25,0.00,32,42,48,52,68,80,92,110,110,110,110,110,159,0,31,35,4,113,81643
"1749116948","8","","Aggregated",21.40,0.00,31,41,46,50,66,79,90,93,110,110,110,110,211,0,31,34,4,113,81857
"1749116949","9","","Aggregated",25.17,0.00,32,41,47,50,68,80,92,110,160,160,160,160,273,0,32,35,4,163,86515
"1749116950","10","","Aggregated",29.14,0.00,32,41,46,50,66,80,90,110,160,160,160,160,340,0,32,34,4,163,87727
"1749116951","11","","Aggregated",33.00,0.00,31,41,46,49,66,80,92,110,160,160,160,160,413,0,31,34,4,163,87019
"1749116952","12","","Aggregated",36.33,0.00,31,40,45,49,66,77,93,110,160,160,160,160,502,0,31,33,4,163,85613
"1749116953","13","","Aggregated",40.00,0.00,29,38,44,47,64,75,89,110,160,160,160,160,600,0,29,32,3,163,81951
"1749116954","14","","Aggregated",48.20,0.00,29,37,42,47,61,73,88,100,160,160,160,160,701,0,29,31,3,163,81219
"1749116955","15","","Aggregated",56.10,0.00,28,36,41,45,58,72,87,100,160,160,160,160,824,0,29,31,3,163,79899
"1749116956","16","","Aggregated",63.90,0.00,28,36,41,45,58,73,88,100,160,160,160,160,934,0,29,31,3,163,79320
"1749116957","17","","Aggregated",74.00,0.00,27,36,41,46,59,75,89,100,160,160,160,160,1045,0,28,31,3,163,80057
"1749116958","18","","Aggregated",80.40,0.00,27,36,41,44,58,73,88,100,160,160,160,160,1180,0,28,30,3,163,80064
"1749116959","19","","Aggregated",87.00,0.00,27,35,41,44,58,71,88,100,150,150,150,150,1323,0,28,30,3,163,80073
"1749116960","20","","Aggregated",94.80,0.00,27,35,40,44,56,68,86,100,140,150,150,150,1464,0,28,30,3,163,80137
"1749116961","21","","Aggregated",103.20,0.00,27,35,40,44,56,68,81,90,120,150,150,150,1618,0,28,30,3,163,80151
"1749116962","22","","Aggregated",110.40,0.00,27,35,40,44,55,67,81,90,120,120,120,120,1786,0,28,30,3,163,80159
"1749116963","23","","Aggregated",119.20,0.00,27,35,40,44,55,68,86,99,120,120,120,120,1958,0,27,30,3,163,80138
"1749116964","24","","Aggregated",125.90,0.00,27,35,41,46,57,72,87,100,120,140,140,140,2130,0,28,30,3,163,81080
"1749116965","25","","Aggregated",133.60,0.00,27,35,41,45,57,70,82,96,120,140,140,140,2322,0,28,30,3,163,81025
"1749116966","26","","Aggregated",140.80,0.00,27,36,42,46,57,69,81,97,120,140,140,140,2496,0,28,30,3,163,81484
"1749116967","27","","Aggregated",147.90,0.00,28,37,42,46,57,69,84,98,110,140,140,140,2693,0,28,30,3,163,82293
"1749116968","28","","Aggregated",154.70,0.00,28,36,42,47,58,70,84,99,140,150,150,150,2908,0,28,30,3,163,81949
"1749116969","29","","Aggregated",162.00,0.00,27,36,42,47,59,72,87,97,140,150,150,150,3134,0,28,30,3,163,81541
"1749116970","30","","Aggregated",170.00,0.00,27,36,42,46,59,72,88,100,140,150,150,150,3355,0,28,30,3,163,81278
"1749116971","31","","Aggregated",178.00,0.00,27,37,42,46,59,72,89,98,140,150,150,150,3586,0,28,30,3,163,81239
"1749116972","32","","Aggregated",186.00,0.00,27,37,41,46,58,71,87,97,140,150,150,150,3814,0,27,30,3,163,81077
"1749116973","33","","Aggregated",193.50,0.00,27,36,41,46,58,70,88,96,120,150,150,150,4077,0,27,30,3,163,81036
"1749116974","34","","Aggregated",201.30,0.00,28,37,42,46,59,71,89,97,120,150,150,150,4327,0,28,30,3,163,81236
"1749116975","35","","Aggregated",210.60,0.00,28,36,41,45,58,70,88,96,120,150,150,150,4566,0,28,30,3,163,81272
"1749116976","36","","Aggregated",217.80,0.00,28,36,41,45,57,70,88,94,130,150,150,150,4831,0,28,30,3,163,81244
"1749116977","37","","Aggregated",222.00,0.00,27,36,41,45,57,70,88,96,130,150,150,150,5108,0,28,30,3,163,81682
