"Timestamp","User Count","Type","Name","Requests/s","Failures/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999%","100%","Total Request Count","Total Failure Count","Total Median Response Time","Total Average Response Time","Total Min Response Time","Total Max Response Time","Total Average Content Size"
"1749120745","1","","Aggregated",0.00,0.00,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",0,0,0,0,0,0,0
"1749120746","2","","Aggregated",0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,9,0,44,46,5,115,90827
"1749120747","3","","Aggregated",0.00,0.00,35,47,48,54,63,81,120,120,120,120,120,120,27,0,35,37,5,115,76161
"1749120748","4","","Aggregated",1.00,0.00,29,39,43,46,56,63,81,120,120,120,120,120,53,0,29,30,5,115,57731
"1749120749","5","","Aggregated",5.00,0.00,33,43,52,56,63,73,81,120,120,120,120,120,79,0,33,33,4,115,68074
"1749120750","6","","Aggregated",10.00,0.00,30,40,49,55,62,73,83,97,120,120,120,120,124,0,30,33,4,115,74058
"1749120751","7","","Aggregated",14.00,0.00,30,39,48,52,62,76,83,97,120,120,120,120,173,0,30,31,4,115,72059
"1749120752","8","","Aggregated",16.80,0.00,31,40,49,54,63,76,86,97,120,120,120,120,228,0,31,33,4,115,76271
"1749120753","9","","Aggregated",21.17,0.00,31,39,48,53,63,73,87,110,120,120,120,120,290,0,31,32,3,115,76101
"1749120754","10","","Aggregated",25.43,0.00,31,40,49,54,63,76,94,100,120,120,120,120,346,0,31,33,3,115,77692
"1749120755","11","","Aggregated",29.25,0.00,31,39,48,52,63,76,94,99,120,120,120,120,413,0,31,32,3,115,77870
"1749120756","12","","Aggregated",32.44,0.00,31,39,48,52,62,73,90,99,110,110,110,110,492,0,31,32,3,115,79034
"1749120757","13","","Aggregated",35.20,0.00,31,39,48,52,63,74,94,99,150,150,150,150,585,0,31,32,3,149,81590
"1749120758","14","","Aggregated",41.90,0.00,31,39,48,53,65,75,94,99,150,150,150,150,685,0,30,32,3,149,80521
"1749120759","15","","Aggregated",48.90,0.00,31,40,47,53,65,76,95,99,150,150,150,150,779,0,31,33,3,149,82583
"1749120760","16","","Aggregated",56.10,0.00,31,41,47,52,65,75,94,99,150,150,150,150,893,0,31,33,3,149,82501
"1749120761","17","","Aggregated",63.30,0.00,33,42,49,54,68,78,97,100,150,150,150,150,1010,0,32,34,3,149,86082
"1749120762","18","","Aggregated",69.80,0.00,32,41,48,53,66,78,95,100,150,150,150,150,1136,0,32,33,3,149,86313
"1749120763","19","","Aggregated",77.30,0.00,33,42,49,53,68,80,96,100,150,150,150,150,1272,0,32,34,3,149,88120
